match_id,team_id,win,dragon_kills,baron_kills,tower_kills,inhibitor_kills,champion_kills,atakhan_kills,horde_kills,total_gold,total_experience
JP1_565954603,100,0,0,0,1,0,7,0,0,33649,39189
JP1_565954603,200,1,3,0,4,0,25,0,3,41897,50075
JP1_565950403,100,1,1,1,10,1,39,0,3,64203,73823
JP1_565950403,200,0,3,0,3,0,18,0,0,54612,62001
JP1_565731119,100,1,2,1,10,2,44,0,0,73340,83577
JP1_565731119,200,0,2,0,1,0,35,0,3,59395,71673
JP1_565827106,100,1,2,0,9,1,35,0,3,52865,55614
JP1_565827106,200,0,0,0,1,0,17,0,0,40789,45402
JP1_565744370,100,1,2,2,9,2,24,0,3,63690,80190
JP1_565744370,200,0,3,0,3,0,17,0,0,57978,69311
JP1_565960988,100,0,0,0,0,0,14,0,0,37075,45883
JP1_565960988,200,1,2,1,10,2,21,0,3,49259,57752
OC1_693528065,100,1,1,0,4,0,26,0,2,41596,46525
OC1_693528065,200,0,1,0,1,0,10,0,1,32741,39086
OC1_693351924,100,0,2,0,6,1,26,0,3,58950,65761
OC1_693351924,200,1,2,1,10,1,45,0,0,69659,79107
OC1_693106721,100,0,3,0,4,0,31,0,3,63883,72264
OC1_693106721,200,1,2,2,11,1,33,0,0,71602,86014
OC1_692989439,100,1,3,1,10,2,42,0,3,60361,67795
OC1_692989439,200,0,0,0,3,0,15,0,0,48289,54285
OC1_692316632,100,1,3,2,10,2,34,0,3,68052,82974
OC1_692316632,200,0,0,0,3,0,14,0,0,54053,69834
OC1_692309957,100,0,1,0,2,0,21,0,2,52675,60250
OC1_692309957,200,1,3,1,11,2,45,0,1,65172,70504
OC1_692305705,100,1,3,1,10,3,33,0,3,70607,85275
OC1_692305705,200,0,1,1,5,0,25,0,0,65542,77205
OC1_692303104,100,0,2,0,5,0,30,0,2,53584,61304
OC1_692303104,200,1,1,1,9,1,34,0,1,61366,73033
OC1_692300525,100,1,2,0,4,0,36,0,3,42103,43484
OC1_692300525,200,0,0,0,0,0,11,0,0,29418,29383
OC1_693566142,100,0,2,0,1,0,20,0,3,55647,67162
OC1_693566142,200,1,3,1,9,2,33,0,0,72356,84330
OC1_693556939,100,0,0,0,6,1,35,0,3,69865,78069
OC1_693556939,200,1,5,2,8,1,42,0,0,73302,88629
OC1_693552566,100,0,1,1,3,0,27,0,0,63494,75538
OC1_693552566,200,1,4,1,9,3,36,0,3,76454,86161
OC1_693527012,100,1,4,0,8,1,28,0,3,67002,77587
OC1_693527012,200,0,0,2,9,2,30,0,0,65784,80576
OC1_693521357,100,1,2,0,3,0,35,0,0,45574,49815
OC1_693521357,200,0,0,0,1,0,16,0,3,36690,39912
OC1_693516995,100,1,2,0,6,1,34,0,0,47180,56286
OC1_693516995,200,0,0,0,0,0,9,0,3,33087,40192
OC1_693514956,100,1,3,0,7,1,32,0,1,67352,78123
OC1_693514956,200,0,1,1,3,0,25,0,2,60946,73626
OC1_693513508,100,1,2,1,8,1,38,0,3,63686,77408
OC1_693513508,200,0,2,0,3,0,16,0,0,53528,64521
OC1_693319337,100,1,3,1,4,0,35,0,3,54762,63478
OC1_693319337,200,0,0,0,1,0,13,0,0,43042,49283
OC1_692922243,100,0,1,0,3,0,22,0,3,64391,68045
OC1_692922243,200,1,4,1,10,2,48,0,0,72509,86315
OC1_692913161,100,1,2,0,10,1,61,0,3,87632,100027
OC1_692913161,200,0,3,2,5,0,52,0,0,82706,98962
OC1_692841670,100,0,0,0,3,0,26,0,3,65530,80053
OC1_692841670,200,1,5,1,11,3,35,0,0,78289,92037
OC1_692834920,100,0,1,0,2,0,23,0,3,56621,68720
OC1_692834920,200,1,4,2,8,1,39,0,0,68752,80991
OC1_693538943,100,0,2,0,4,0,21,0,1,65394,83647
OC1_693538943,200,1,2,1,11,1,26,0,2,74012,91254
OC1_693503798,100,1,1,1,8,1,34,0,2,80097,95195
OC1_693503798,200,0,4,1,3,0,30,0,1,73413,91594
OC1_693504037,100,1,2,0,2,0,26,0,0,35218,39181
OC1_693504037,200,0,0,0,1,0,7,0,3,27216,29447
OC1_693500741,100,1,1,0,4,0,28,0,3,39880,42174
OC1_693500741,200,0,0,0,0,0,11,0,0,29124,35024
OC1_693498625,100,1,2,1,5,1,35,0,0,62458,77769
OC1_693498625,200,0,3,0,6,1,26,0,3,58590,64154
OC1_693495570,100,0,1,1,5,0,28,0,3,67807,78986
OC1_693495570,200,1,4,0,8,1,36,0,0,71279,80152
OC1_693568166,100,0,0,0,2,0,23,0,3,53387,66849
OC1_693568166,200,1,3,1,11,2,37,0,0,67799,78789
OC1_693562544,100,0,0,0,0,0,18,0,3,51523,62471
OC1_693562544,200,1,4,1,11,3,35,0,0,65378,74624
OC1_693551682,100,0,0,0,5,0,16,0,3,54087,61447
OC1_693551682,200,1,4,1,9,2,40,0,0,64404,76386
OC1_693554899,100,0,2,0,6,0,27,0,0,65507,73839
OC1_693554899,200,1,3,1,10,2,32,0,3,69545,83775
OC1_693502640,100,1,1,0,4,0,17,0,3,34233,37245
OC1_693502640,200,0,0,0,0,0,6,0,0,23010,26868
OC1_693559878,100,0,1,0,5,0,15,0,3,52973,59430
