match_id,participant_id,puuid,summoner_name,summoner_id,team_id,champion_id,champion_name,individual_position,rank_tier,rank_division,summoner1_id,summoner2_id,summoner1_name,summoner2_name,item0,item1,item2,item3,item4,item5,item6,win,kills,deaths,assists,gold_earned,champion_experience,total_damage_dealt_to_champions
EUW1_7737556117,2,hFEgTXdcKfXVFidwlnHnWg9gOVWdBs6AxjccubHqHcRAb7EYidCwddq5KuT_n3iElVdoJDzFy00tVA,,mnA9ExVgotXtGPdnqcy_GqGooJuLN1fc2L851uEQVeVXEms,100,421,RekSai,JUNGLE,UNRANKED,,11,4,,,3161,3748,3111,3053,1029,1037,3364,1,9,5,9,14493,16465,21352
EUW1_7737556117,3,hSv8IzxWh1cFFC8F5wGbOP9sffIWQ32_H2lRQQ0GGEE8VhKZ1Z8jOW17MfiwCcigm4VJNncu6LF_NA,,as4zv1_pHbGLAuLkvlQ9Mc13sa6-FvB3Arf4vU85digEFfk,100,13,Ryze,MIDDLE,UNRANKED,,4,6,,,3040,2522,6657,3175,3089,1029,3340,1,10,7,9,15717,17393,44095
EUW1_7737556117,4,CJBRdt0PkHdCrg-t_SzOKajGH4b3w_XYMvSPQwwbtQSCBw9I432zdx95iSX3ddCjGd3PG_6mOCjh5g,,to1aO3Q4L9j0gIJP2OWqoPtpXPTk0-8SxFwe6j7XVB0B5ar0D5wG2t5Hjg,100,63,Brand,BOTTOM,UNRANKED,,4,6,,,1056,3116,3157,6653,1052,1028,3363,1,3,8,10,11623,13417,24398
EUW1_7737556117,5,6M0tYDA5xXNlPS7NMUrB1FNpR9tw8KFrM4hvEf7irSfa1l2eXjdx6UffUbXLCqXLxfNZ8FWDvGwx4A,,yB42YB8GePn-KT8MSI0z0UhOBSrG0-j22IMi3Z1ocnspfyc,100,497,Rakan,SUPPORT,UNRANKED,,4,7,,,3869,3050,3158,3190,3114,3108,3364,1,0,5,21,9110,11301,9585
EUW1_7737556117,6,UbLr2-ved8REQ_FkuiN_FYhmH64bECKHtv2bqoXsKlPg7aLi5ntjRaQZnW68el8DyY6ggb8983Plbg,,cx107nud4Y6o01KK1fmdCcxLq3n1M8t7e1TLx_brBz8K5h1E-vkn9cz7Ng,200,79,Gragas,TOP,UNRANKED,,4,12,,,3152,3916,6657,3108,3158,3067,3363,0,5,8,5,9709,16149,22213
EUW1_7737556117,7,dd8WJ5s0FfVN-TP7JzMlOdgx6oQS8uICWNiHmKwg33AZk4PKuf_yTK7hV8Y9XQmMQP1PCKNyA5rWSQ,,W8xgc7Y_TqyahwPxuERCTWUeN0tVWXk27qFo23QDXJF8h_CRPZeRz9OOxQ,200,62,MonkeyKing,JUNGLE,UNRANKED,,11,4,,,3026,6610,3047,3155,0,3078,3364,0,7,3,11,13095,14213,25658
EUW1_7737556117,8,etPCUM04O1Vb-kkTvE5X4LhS8kFkXVOdv9bjH0b2o0UuzAQsggDvK4_xfmeC-cUGYb6xuTufggIEnw,,v9xixbb5h08NTeVXxg1bpEtEtZB1o5l-7YbkUD7h9XUjiUrB,200,55,Katarina,MIDDLE,UNRANKED,,14,3,,,3089,2421,3146,3100,3175,1082,3363,0,11,7,6,14025,14498,39863
EUW1_7737556117,9,Z_lrwMFSkmU6iPFYSB6KQdq1078ndzLLDofJ07jLFLSV9lOv_W7buqOo2n961TTdlvlJk8r2p6PNyg,,HlaqxmhJI40FgRULuWPUjLDZhUNk-ESbFPh24hTBeJL_,200,804,Yunara,BOTTOM,UNRANKED,,4,21,,,1018,6672,1053,1033,3031,2512,3363,0,5,7,10,13763,12572,28067
EUW1_7737556117,10,d4gbN778seoFa2nAiXZKjCDvUXx2Dlo90S3cvPi6aYsvlcG9RpiSci0rzmSfR31sK1a8RSV4dT_jkw,,K7lWrVUdM3IBWA9lvbySvF6VxXTPEjlrH1BNA58HPJ4AjfzH,200,412,Thresh,SUPPORT,UNRANKED,,14,4,,,3190,3876,3009,2524,3916,1031,3364,0,2,6,19,9013,9229,11518
EUW1_7737516217,1,RrRAeFunTkMKEM3d-pMoBPpM18qcYYPj1Jdv1IiNLa0peU0TQgD2DY1b8Vs_jTjr6GGSVA9ywZma0Q,,osdUuaJ6N7F8P5HBsIKVzVeXpBTquZAFQNfwNJO6rBbSDu567UqENzZmJg,100,64,LeeSin,TOP,UNRANKED,,14,4,,,3074,2019,2055,3047,6610,3133,3340,0,3,5,3,10820,15303,14144
EUW1_7737516217,2,z-CrkzcT47PHVFzTGNetsir0TGcsKdi_5fRP-un_OgD_WUSCZf9APngnIADzlsO6IemYH4HC9zLAJw,,AQttSwxn8daPclJfJxnHtUqUrzEdiqROY950AtB3ISDmR9M,100,62,MonkeyKing,JUNGLE,UNRANKED,,11,4,,,3111,3078,1036,6610,0,0,3364,0,3,5,1,8607,9683,10591
EUW1_7737516217,3,hSv8IzxWh1cFFC8F5wGbOP9sffIWQ32_H2lRQQ0GGEE8VhKZ1Z8jOW17MfiwCcigm4VJNncu6LF_NA,,as4zv1_pHbGLAuLkvlQ9Mc13sa6-FvB3Arf4vU85digEFfk,100,31,Chogath,MIDDLE,UNRANKED,,4,6,,,4633,3152,2055,1082,3173,1057,3340,0,4,4,0,10083,12110,13033
EUW1_7737516217,4,_FaH7sREE1_2PYTfPeD8q-Pgg0Qpz1JRjYur4N7sRfiNEUFTEFsx1MfywWV5cW2QHujWCPEiHPz0OQ,,vukYTpiNNQE4Ev2biNzb2k1wHueEpJmT3Pp6X1bdJAwUEG8,100,42,Corki,BOTTOM,UNRANKED,,4,21,,,3031,3508,1055,0,0,0,3363,0,0,5,4,9121,9891,11390
